index,title,simpletags,deepertags,degree
0,bachelor of engineering robotics and automation engineering,bachelor engineering robotics automation,MATLAB SolidWorks Robotics Lab 3D printing lab Automation Lab Computer Aided Manufacturing Lab Computational Geometry Computer aided Manufacturing Industrial Robotics Automation Biocybernetics Digital Electronics And Microprocessors Design Control Robot Manipulators Air Traffic And Management Systems Artificial Intelligence Signal Processing Medical Robotics Robot Motion Planning Computer Integrated Manufacturing System ,bachelor of engineering
1,bachelor of technology mechanical engineering,bachelor technology engineering mechanical,thermodynamics Machine Design Mechanics fluid layer laminar turbulent flow Physics Mechatronics Automation Manufacturing Mathematics programming computer aided CAD CAE Design Applied rockets engines jet airplanes space propulsion MATLAB software CAD CAM  Automation CATIA Solidworks Compressible Flow Jet Propulsion Heat Mass Transfer Analysis Design Machine Components Turbomachines Automobile Engineering Design Mechanical Drives Computer Aided Design Drafting Refrigeration Air Conditioning Computer Aided Management Principles Resource Management Techniques Finite Element Method Advanced I.C. Engines Industrial Safety Optimization Engineering Design Computational Fluid Dynamics Gears Cams MEMS Devices Fabrication Welding Industrial Robotics Combustion Dynamics Machinery Renewable Energy Machining Processes ,bachelor of technology
2,"bachelor of technology aerospace, aeronautical and astronautical/space engineering",bachelor technology engineering aerospace aeronautical astronautical space,AutoCAD CAD programming Linux thermodynamics fluid statics computer aided drafting Aerodynamics aerospace mechanics rockets Spacecraft Mission Design rocket propulsion UAVs MATLAB SIMULINK Linear system modelling Physics Chemistry Environmental Studies Mechanics Graphics Mechanical Engineering Civil Electronics Engineering Information Technology Electrical Economics Communication Fluid Mechanics Thermodynamics Aeronautics Gas Dynamics Propulsion Aerodynamics Aircraft Structure Propulsion Management Flight Dynamics Wind Tunnel Avionics Heat Transfer Heat Engines Aero Engines Computational Fluid Dynamics Stress Analysis Aircraft Design Aircraft System Instrumentation Rocket Missiles space technology Air Transportation maintenance Materials Sciences Airframe Stress Analysis Sizing Propulsion Compressible Flow Fluid Dynamics Automatic Control Guidance Performance Structures rocket systems space-shuttles spaceshuttles CFD,bachelor of technology
3,Aerospace Engineer,master master's technology robotics automation aeronautical astronautical space technology masters aerospace engineering mechanical engineering physics mathematics bachelor bachelors bachelor's space, CAD software Solidworks AutoCAD ProEngineer security clearance knowledge aeronautical machines airplanes rockets spacecraft helicopters UAVs Windows Linux MacOS computational software MATLAB Simulink design draft designs efficiency functionality designs thermodynamics mechanics robotics aerodynamics production methods Java MySQL programming,profile
4,bachelor of engineering biotechnology,bachelor technology engineering agriculture biotechnology,biological systems Biology Biochemical Bioprocess Natural Biological Engineering computer management biological materials molecules Pharma Food Fuel Environment Genetics Microbial biotechnology Plant cell culture Molecular biology Environmental biotechnology Immunology Downstream processing Metabolic engineering Enzyme technology Protein engineering Bioinformatics Process engineering Mass transfer bioprocesses Biochemical reaction Bioreactor design cutting-edge mechanistic genome instability nano-bio-graphene products biomicrofluids tissue engineering next gen chemotherapy computational structural biology genotype-phenotype mapping genome editing nutraceuticals functional foods plant metabolites metagenomics Green process product development microbial microalgal biorefinery models bio-fuels technology development valorization wastes sequestration carbon dioxide tasar silk biomaterials molecular genomics bacterial biofilm antimicrobial resistance mechanisms biohythane arsenic metagenomics thelebolan growtek plant tissue culture bioreactor cyclosaplin biomimetic tissue platform green-surfactants and polymers epitope mapping lipid metabolic engineering ,bachelor of engineering
5,bachelor of technology bioinformatics,bachelor technology agriculture operations related sciences bioinformatics,Physics Chemistry Civil Engineering Multiple Integrals Differential Equations Materials Science Environmental Science Cell Biology Biochemistry Programming MATLAB Mechanical Electrical Electronics Graphics Bio Informatics Microbiology Immunology Computational Biology Bioinformatics Algorithms Biostatistics Molecular Biology Genetics Biophysics Database Management Systems C C++ Recombinant DNA Technology Genomics Transcriptomics Molecular Phylogeny Evolution Perl Bioperl Immunoinformatics Proteomics JAVA Chemoinfromatics Drug Designing Molecular Dynamics Python Ethical Issues Research Methodology Intellectual Property Rights Metabolomics Metabolic Data Structures Pharmacogenomics Pharmacogenetics Genetic Biotechnology Bioinformatics Biospectroscopy Medical Informatics Neuroscience Protein Microarray Neural Networks Cancer Biology Systems Artificial Intelligence Gene Therapy,bachelor of technology
6,bachelor of technology agricultural and food engineering,bachelor technology agriculture food engineering,Agricultural Food Engineering engineering graduates requirement technical development farm machines land water resources management agricultural production processing preservation food products demand agricultural food industries design development testing selection tractors farm implements irrigation drainage watershed management Remote Sensing GIS information technology processing food fodder fibre biomass wastes biochemicals fuels manure non-conventional energy Farm Machinery Power Land Water Resources Engineering Food Process Engineering Agricultural Biotechnology Aquacultural Engineering Agricultural Systems Management,bachelor of technology
7,"bachelor of science agriculture, agriculture operations, and related sciences",bachelor science agriculture operations related sciences,"Soil engineering	 Water Crop Pests Management Machinery Farm power Structures agro processing cultivation Application energy sources agriculture Principles Entomology Economic Background Sericulture Indian Rural Sociology Constitution Plant Biochemistry Agricultural finance cooperation Computer Application Educational Psychology Fundamentals Agribusiness Management Principles Agricultural Economics Farm management Agricultural marketing Production economics Dimensions Agricultural Extension Extension Methodologies Agricultural Technologies Entrepreneurship Development Microbiology Microbiology Soil Microbiology Statistic Fundamentals Statistics Agronomy Agricultural Meteorology Weed Management Experimental Techniques Agricultural Research Sustainable Organic Farming Farming System Irrigation Water Management Crop Production Watershed Management Rain-fed Agriculture ",bachelor of science
8,Agricultural Engineer,Horticulture Masters bachelor bachelor's master master's bachelor science agriculture business operations related sciences technology business agribusiness agricultural food technology bioinformatics engineering biotechnology,"design agricultural machinery components tools computer-aided design CAD technology food-processing plants monitor manufacturing operation federal state laws inspect food meat processing standards agricultural commodities environmental impact construction projects land drainage reclamation irrigation solving engineering problems prototype developments field trials Improvements production coordinate manufacturing design issues production implementation Creo 2.0 Agricultural products Indian International Standards Agricultural Equipment Materials engineering sheet metal homologations safety standards Product development processes tools FMEA DFSS System Engineering
",profile
9,bachelor of engineering power electronics,bachelor engineering electronics power ,Electrical Engineering Machines Measurement Instrumentation Power Electronics Network Theory Digital Electronics Analog Electronics Electromagnetic Field Theory Industrial Insrumentation Electrical Machines Power Systems Operation Control Electrical Energy Power Generation Transmission Distribution Power Systems Electric Drives Control Systems Control Systems Digital Control Embedded Systems Communication Systems Digital Signal Processing Artificial Neural Network Fuzzy Logic Probability Random Process Digital Electronics Microprocessors Special Machines Biomedical Instrumentation Power System Protection Renewable Energy Systems High Voltage Engineering HVDC Transmission Smart Grid Modelling Control Power Electronics Systems Switched Mode DC DC Conveters Robust Optimal Control Robotics Computer Vision Digital Image Processing Wireless Cellular Communication VLSI Technology Information Theory Coding Digital Communication Topics Signal Processing MEMS Nano Electronics Speech Processing Statistical Signal Processing Pattern Recognition Machine Learning Optimization Techniques Energy Storage Systems Energy Storage Systems Electrical Engineering Electrical Network Simulation Electrical Measurement Analog Electronics Laboratory Electrical Engineering Control Systems Control Electrical System Design Power Systems Power Electronics Network Analysis Electrical Machines Power Systems Electrical Drives Power Systems Laboratory Environmental Estimation Construction Management Transportation Environment Safety Complex Analysis Business Research Methodology Steel Structures Design,bachelor of engineering
