index,title,simpletags,deepertags
0,Aerospace Engineer,master master's technology robotics automation aeronautical astronautical space technology masters aerospace engineering mechanical engineering physics mathematics bachelor bachelors bachelor's space,AUTOCAD software Solidworks AutoCAD ProEngineer security clearance knowledge aeronautical machines airplanes rockets spacecraft helicopters UAVs Windows Linux MacOS computational software MATLAB Simulink design draft designs efficiency functionality designs thermodynamics mechanics robotics aerodynamics production methods Java MySQL programming
1,Agricultural Engineer,Horticulture Masters bachelor bachelor's master master's bachelor science agriculture business operations related sciences technology business agribusiness agricultural food technology bioinformatics engineering biotechnology,design agricultural machinery components tools computer-aided design CAD technology food-processing plants monitor manufacturing operation federal state laws inspect food meat processing standards agricultural commodities environmental impact construction projects land drainage reclamation irrigation solving engineering problems prototype developments field trials Improvements production coordinate manufacturing design issues production implementation Creo 2.0 Agricultural products Indian International Standards Agricultural Equipment Materials engineering sheet metal homologations safety standards Product development processes tools FMEA DFSS System Engineering
2,Automotive Engineer,bachelor bachelors bachelor's master masters master's technology automotive mechanical computer science electrical electronics production manufacturing engineering automotive design electronics power electrical mechanical automation communications mechatronics robotics automobile,Preparing design specifications Researching developing producing new vehicles components vehicle subsystems Using computerized models determine behavior efficiency vehicle Investigating product failure Preparing cost estimates current new vehicles Assessing safety environmental components automotive project Creating plans drawings vehicle products fluid mechanics aerodynamics control systems energy environmental safety AutoCAD electrical components circuits car software car bodies mechanical electrical hydraulic thermodynamic pneumatic principles automotive engineers engineering mechanical failures building prototypes components test performance regulations JIRA Trello Microsoft Project ThinkDesign Engineering Gamma Technologies GT-SUITE Corel Sketch Pad MATLAB CAM PLM
3,Biomedical Engineer,science engineering bachelor bachelors bachelor's master masters master's medical biomedical technology instrumentation,designing testing implementing medical procedures computer-aided surgery tissue engineering designing developing testing modifying products equipment devices liaising medical engineering scientific staff maintaining equipment writing reports documentation Design biomedical equipment devices artificial internal organs replacements body parts machines diagnosing medical problems Install adjust maintain repair provide technical support biomedical equipment Evaluate safety efficiency equipment Research engineering biological systems humans animals life scientists chemists medical scientists Prepare procedures technical reports publish research papers Biomedical engineers design instruments devices software healthcare develop procedures development quality assurance electrical circuits software medical equipment computer simulations drug therapies body parts hip knee joints rehabilitative exercise equipment computer software three-dimensional x-ray machines develop drug therapies build models understand signals transmitted brain heart Bio-instrumentation electronics computer science instruments diagnosis treatment Regulatory
4,Chemical Engineer,Bachelor bachelor's chemical engineering Masterâ€™s bachelors master masters Science technology,Perform chemical analysis physical property testing materials products Research design develop production processes Coordinate perform tests Analyze data develop conclusions Communicate results analysis research Evaluate current processes develop improvements safety quality efficiency Create standards specifications processes facilities products tests Assist timelines budgets Install maintain inspect equipment facilities Perform routine calibration troubleshooting instruments Provide training mentorship technical staff Knowledge Batch Chemical Manufacturing process product technology engineering principles batch operations understanding knowledge unit operations filtration particle size reduction purification mixing operations Root Cause Failure Analysis RCFA methodology Process Safety Management Lean manufacturing principles Analytical diagnostic skills Project management skills manufacturing environment Scientific mathematical engineering processes creating SOP`s insulated products valves pipes strainers pipelines Understanding products requirements specifications targeted performance chemicals insulation Observing production processes conducting research  increase efficiency quality project needs design test improve processes equipment facilities Conduct develop manufacturing processes Develop liquids gases electrical currents controlled chemical processes Estimate production management 
5,Civil Engineer,Engineer Training Certification OSHA Safety Certificate Project Management Professional PMP Certified Construction Manager CCM Master Project Manager MPM LEED AP Building Design Construction LEED Certified Professional Erosion Sediment Control CPESC,AutoCAD Civil 3D civil design components roadways sewers water mains storm water management systems site subdivision layout hydrologic hydraulic calculations grading cost estimating erosion sedimentation structural engineering analysis design tasks steel concrete bridge masonry wood structures site investigations design calculations drawings specifications architects 
6,Engineer In Training Certification (EIT),Engineer Training Certification EIT,bachelor's bachelor degree accredited engineering engineer
7,OSHA Safety Certificate,OSHA Safety Certificate,public private sector employees occupational safety health incident certificates Construction Maritime Industry training
8,Certified Construction Manager (CCM),Certified Construction Manager CCM,construction management capital program and project management Architecture construction science engineering construction management drafters landscapers electricians
9,HP ASC - Networking [2011] (ASC-Net11),HP ASC - Networking 2011 ASC-Net11,
10,Master Project Manager (MPM),Master Project Manager MPM,industries government health care telecom IT education finance
11,LEED AP Building Design + Construction (LEED),LEED AP Building Design Construction LEED,systems design construction operation green buildings homes neighborhoods
12,Certified Professional in Erosion and Sediment Control (CPESC),Certified Professional Erosion Sediment Control CPESC,environmental pollutants natural manmade soil water air subdivisions commercial sites parks recreational developments highways transmission lines power oil gas farms forests surface mines
13,Computer Engineer,Software Engineering Master Certification SEMC Certified Scrum Master CSM Oracle Certified Associate - Oracle9i Database Administrator OCA Microsoft Certified Technology Specialist: .NET Framework 3.5 Windows Workflow Applications MCTS Microsoft Certified Application Developer MCAD Certified Software Development Professional CSDP Certified Systems Engineering Professional CSEP Certified Information Security Manager CISM ISTQB Certified Tester Foundation Level CTFL Certified Software Manager CSM Associate Android Developer Certification Certified Planning Engineer CPE Oracle Certified Expert Java EE 6 Web Component DeveloperObject-Oriented Software Engineering Certified Professional IBM Certified Data Engineer - Big Data Certified Professional Python Programming Certification PCPP1 Sun Certified Web Component Developer Java 2EE SCWCD Certified Energy Manager CEM Certified Chemical Engineer CCE ,Engineers Designers Developers Project Managers Researching technologies programming solutions build software and hardware Writing creating Troubleshooting database anomalies problems inefficiencies data loss Compiling technical support queries bug fixes software hardware open-source frameworks Spring Boot Django Angular React database technologies relational NoSQL distributed Java Python Go JavaScript mobile application development UNIX Linux environments distributed systems information migration networking systems systems security development shell scripting SKILL Python C C++ JAVA Visual Basic Perl Lisp Agile methodologies frameworks cloud technologies microservice Software Development cloud-native services applications AWS GCP Azure AWS big data technologies Redshift S3 EMR PySpark AWS primitives Lambda API Gateway Redshift AWS Glue SageMaker software engineering development lifecycle including agile methodologies coding standards code reviews source management build processes testing operations data modeling data engineering strategy
14,Software Engineering Master Certification (SEMC),Software Engineering Master Certification SEMC,Software Engineering Requirements Software Engineering Design Software Engineering Construction Software Engineering Testing Software Engineering Maintenance Software Engineering Configuration Management Software Engineering Quality Software Engineering Processes Software Engineering Models Methods Software Engineering Management Software Engineering Project Management Software Engineering Economics 
15,Certified Scrum Master (CSM),Certified Scrum Master CSM,Senior Software Development Engineer Associate Software Engineer Software Engineering Internship Senior Software Engineer Lead
16,Oracle Certified Associate - Oracle9i Database Administrator (OCA),Oracle Certified Associate Database Administrator OCA,Database techniques backup recovery performance tuning administration Oracle9i Database provides efficient reliable secure data management high-end applications high-volume online transaction processing (OLTP) environments query-intensive data warehouses Internet applications
17,"Microsoft Certified Technology Specialist: .NET Framework 3.5, Windows Workflow and Applications (MCTS)",Microsoft Certified Technology Specialist .NET Framework 3.5 Windows Workflow Applications MCTS,
18,Microsoft Certified Application Developer (MCAD),Microsoft Certified Application Developer MCAD,
19,Certified Information Security Manager (CISM),Certified Information Security Manager CISM,
20,ISTQB Certified Tester Foundation Level (CTFL),ISTQB Certified Tester Foundation Level CTFL,software testing project managers quality managers software development managers business analysts IT directors management consultants
21,Certified Software Manager (CSM),Certified Software Manager CSM,
22,Associate Android Developer Certification,Associate Android Developer Certification,
23,Certified Planning Engineer (CPE),Certified Planning Engineer CPE,
24,"Oracle Certified Expert, Java EE 6 Web Component Developer",Oracle Certified Expert Java EE Web Component Developer,
25,Object-Oriented Software Engineering Certified Professional,Object Oriented Software Engineering Certified Professional,
26,IBM Certified Data Engineer - Big Data,IBM Certified Data Engineer Big Data,Data engineers develop maintain test big data solutions organizations hardware software architects
27,Certified Professional in Python Programming 1 Certification (PCPP1),Certified Professional Python Programming Certification PCPP1, graphical user interface programming networking RESTful APIs library modules SQLite databases sqlite3 module create process XML files xml module read write process csv files csv module create process log messages Python logging module configparser best practices standardization coding conventions Python Language developer
28,Sun Certified Web Component Developer for Java 2EE (SCWCD),Sun Certified Web Component Developer for Java 2EE SCWCD,JavaServer Pages servlet technologies Web services dynamic Web content
29,Certified Chemical Engineer (CCE),Certified Chemical Engineer CCE,chemists chemical engineers 
30,Data Engineer,Amazon Web Services AWS Certified Data Analytics Specialty Cloudera Data Platform Generalist Certification Data Science Council America DASCA Associate Big Data EngineerData Science Council America DASCA Senior Big Data Engineer Google Professional Data Engineer IBM Certified Solution Architect Cloud Pak Data IBM Certified Solution Architect Data Warehouse V1SAS Certified Big Data Professional,Python Java backend development data systems data pipelines Airflow Looker scale Airflow data pipelines Data Engineering libraries built-in features Pandas pyspark SQL data warehouse AWS Athena AWS S3 AWS Redshift Batch processing AWS Batch AWS Glue advanced data transformations batch streaming ETL systems data sources models Build scale data warehouse systems data governance HITRUST compliant security automated deployment schema DevOps deployment operational database development advanced monitoring query optimizations architecture improvements create indexes stored procedures Develop data integrity analysis data processes identifying designing implementing internal data process architecture high-performance ETL software modular process structured JSON unstructured data integrating data SQL relational non-relational Python Scala Java UNIX LINUX command line AWS big data massively parallel processing MPP distributed computing principles predictive analytics data mining machine learning continuous integration practice build automation testing Git Jenkins Maven
31,Amazon Web Services (AWS) Certified Data Analytics Specialty,Amazon Web Services AWS Certified Data Analytics,cloud AWS Certified Data Analytics AWS data lakes analytics services insights data
32,Cloudera Data Platform Generalist Certification,Cloudera Data Platform Generalist Certification," platform system administration solution development data analysis CDP certification exams are question-based and proctored securely online, and earned credentials are awarded with digital badges that can be socialized professional forums enterprise data career Cloudera CDP platform"
33,Data Science Council of America (DASCA) Associate Big Data Engineer,Data Science Council America DASCA Associate Big Data Engineer,software engineers programmers high demand Big Data development
34,Data Science Council of America (DASCA) Senior Big Data Engineer,Data Science Council America DASCA Senior Big Data Engineer,programming tools techniques object oriented programming knowing Core JAVA SQL scripting languages PERL RUBY Python JAVA Computer Science Technology Engineering Applied Sciences 
35,Google Professional Data Engineer,Google Professional Data Engineer,Data Engineer leverage deploy continuously train pre-existing machine learning models design build operationalize secure monitor data processing systems particular emphasis security compliance scalability efficiency reliability fidelity flexibility portability
36,IBM Certified Solution Architect Cloud Pak for Data v4.x,IBM Certified Solution Architect Cloud Pak Data,architect design plan architect Cloud IBM Cloud architectural architect IBM Cloud management principle infrastructure best practices API Management Architect Architecture Cloud Computing Cloud Integration Cloud Native Cloud Security IBM Bluemix Garage IBM Hybrid IT offerings principles architecture software RedHat Open Shift IBM Kubernetes IKS ROKS Network IBM comprehensive IBM Designing Virtual Private VPC AI Blockchain IoT infrastructure storage security networking virtualization technologies 
37,IBM Certified Solution Architect – Data Warehouse V1,IBM Certified Solution Architect Data Warehouse,Architect Data Analysis Database IBM Certified design plan architect data warehouse data governance data processing approaches data stores data virtualization real time processing solutions Business Intelligence tools cleansing techniques SQL syntax operationalizing data Science AI analytics multi-dimensional data modeling management  
38,SAS Certified Big Data Professional,SAS Certified Big Data Professional, SAS Hadoop Hive statistical analysis AI Machine Learning SAS Certified Base Programming Using SAS Statistical Business Analyst Regression Modeling 
39,Electrical Engineer,bachelor bachelors electrical engineering technology electronics mechanical electronics civil communication communications industrial product design mechatronics robotics telecommunication bachelor's master masters master's automation production ,Schematic design simulation analog circuits power distribution telemetry monitoring motor control digital circuits microprocessor microcontrollers FPGA SoC memory devices digital transceivers Circuit Analyses worst-case circuit analysis failure modes effects reliability availability rudimentary thermal analysis Layout PCBs outsourced PCB layout Electrical test circuits PCB Design high-speed signal power integrity analysis Electronic Test Equipment Design develop electrical components circuit electrical system bench testing structured tests validate designs Embedded code development Testing automation coding R&D design controls risk management Quality Management System 
40,Environmental Engineer,Registered Environmental Manager Registered Environmental Professional Certified Environmental Safety Compliance Officer Certified Environmental Auditor Registered Industrial Hygiene Professional ,regulatory compliance  identifying compliance issues records air emission monitoring compliance wastewater groundwater monitoring compliance solids hazardous waste monitoring compliance refinery environmental systems wastewater system analyzers air emission RegPerfect database LDAR RCRA NPDES watershed flood management asset management system GIS Floodplain Management FEMA NFIP flood resiliency strategic plan AutoCAD Designing technology pollution control waste management Collecting analyzing environmental data site assessments environmental impact commercial activity human influences environmental conservation management recycling public health water air pollution Identifying critical research renewable energy climate change food water security environmental protection designing management systems design projects comply environmental health regulations environmental investigative policymakers environmental best practices
41,Registered Environmental Manager,Registered Environmental Manager,Basic Regulatory Process Environmental Laws Clean Air Federal Water Pollution Control Clean Water Basics of the Regulatory Process and Environmental Laws Clean Air Act CAA Clean Water Act CWA Safe Drinking Water Act SDWA Comprehensive Environmental Response Compensation Liability Act CERLA Resource Conservation Recovery Act RCRA Emergency Planning Community Right-To-Know Act EPCRA Toxic Substances Control Act TSCA Hazardous Materials Transportation Act HMTA Federal Insecticide Fungicide Rodenticide Act FIFRA Occupational Safety and Health Act OSHA Sustainability Pollution Prevention National Environmental Policy Act NEPA Endangered Species Act ESA National Historic Preservation Act NHPA Code Ethics EH&S Standards Management Systems Audits 
42,Registered Environmental Professional,Registered Environmental Professional,Basic Regulatory Process Environmental Laws Clean Air Federal Water Pollution Control Clean Water Basics of the Regulatory Process and Environmental Laws Clean Air Act CAA Clean Water Act CWA Safe Drinking Water Act SDWA Comprehensive Environmental Response Compensation Liability Act CERLA Resource Conservation Recovery Act RCRA Emergency Planning Community Right-To-Know Act EPCRA Toxic Substances Control Act TSCA Hazardous Materials Transportation Act HMTA Federal Insecticide Fungicide Rodenticide Act FIFRA Occupational Safety and Health Act OSHA Sustainability Pollution Prevention National Environmental Policy Act NEPA Endangered Species Act ESA National Historic Preservation Act NHPA Code Ethics EH&S Standards Management Systems Audits 
43,Certified Environmental and Safety Compliance Officer,Certified Environmental and Safety Compliance Officer,"Environmental Healthy Safety Auditing Hazardous Material Regulations OSHA	Environmental Site Assessments"
44,Certified Environmental Auditor,Certified Environmental Auditor, environmental health safety regulations Environmental Compliance Health Safety Management Systems Responsible Care auditing procedures processes auditing Environmental Laws Regulations Environmental Program Management Chemistry Toxicology Geology Hydro-geology Environmental Technology Environmental Ethics Legal Obligations Personal Liability Energy engineers consultants energy auditors New energy auditors Plant facility engineers Energy managers Energy service company (ESCO) professionals Energy performance contracting (EPC) professionals 
45,Registered Industrial Hygiene Professional,Registered Industrial Hygiene Professional ,"Industrial Hygiene Science Chemistry Analytical Chemistry Biological Hazards Air Pollution Sampling Monitoring Radiations Toxicology Epidemiology	 Stressors Measurement courses control Workplace Hazard Risk Assessment Environmental Ethics "
46,Marine Engineer,marine engineering maritime engineering bachelor naval architecture engineer bachelors bachelor's master masters master's mechanical marine science technology science mechanical automation,Monitoring maintenance mechanical systems designs builds tests repairs ships boats underwater craft offshore platforms drilling equipment  blueprints designing engines propulsion systems testing prototypes passenger boats sailboats cruise ships submarines military battleships aircraft carriers Steering control systems Static Dynamic structural analysis classical Finite Element Analysis FEA SolidWorks 3D-CAD SolidWorks Enterprise PDM program electrical hydraulic auxiliary systems Propulsion systems gas turbine diesel engine nuclear reactor boatbuilding American Bureau Shipping ABS Naval Ships International Code Safety High Speed Craft MIL-STD requirements Mechanical electrical systems  Integrated Product Team (IPT) Naval Architecture hydrodynamics mechanical engineering structures materials heat transfer industry standard design recreational vessels cargo ships small passenger vessels cruise ships desired
47,Mechanical Engineer,Assistive Design Certificate Certified Energy Manager CEM Certified Manufacturing Engineer CMfgE Certified Quality Engineer CQE Certified Systems Engineering Professional CSEP,Plan conceptualize create mechanical designs Develop testing processes perform testing validation Generate working prototypes Create review technical drawings plans specifications computer software vendors contractors project development design process Application Engineer Design Engineer Design Maintenance Engineer Equipment Engineer Mechanical Design Engineer Mechanical Engineer Process Engineer Product Engineer Project Engineer Test Engineer CAD software SolidWorks AutoCAD
48,Assistive Design Certificate,Assistive Design Certificate,cognitive dynamic computer-interface design auto semiautomated systems biomedical systems information processing decision making reaction times signal detection theory
49,Certified Energy Manager (CEM),Certified Energy Manager CEM,energy management profession engineering degree energy engineering energy management Energy management professionals Project engineers Energy managers industrial commercial buildings institutional sectors Service providers consultants Energy engineers managers Facility building managers Utility account managers Energy service company (ESCO) Resource efficiency managers REMs Sustainability managers Energy supply uses buildings commercial institutional sectors Energy surveys cost-effective improvement ideas energy building environments design concepts constructing green buildings facilities Different systems equipment buildings manufacturing plants 
50,Certified Manufacturing Engineer (CMfgE),Certified Manufacturing Engineer CMfgE,manufacturing process application design development digital enterprise automated systems controls quality continuous improvement business acumen project management labor relations finance time statistics total quality management robotics supply chain computer systems networks machine data science industrial design CAD CAE toolsmodelling drafting fabrication polymers
51,Certified Quality Engineer (CQE),Certified Quality Engineer CQE,development operation quality control systems application analysis testing inspection metrology statistical quality control practices human factors motivation familiarity quality cost concepts techniques knowledge develop administer management information systems audit quality systems Quality System Product Process Service Design Product Process Control Continuous Improvement Quantitative Methods Tools Statistical Process Control Risk Management Design Analysis Experiments Process Performance Capability Relationships Between Variables Statistical Decision Making Continuous Improvement Methodologies Quality Management Planning Material Classification Quality Characteristics Supplier Management Facilitation Principles ASQ Code Ethics Professional Conduct Quality Management System QMS 
52,Certified Systems Engineering Professional (CSEP),Certified Systems Engineering Professional CSEP,systems engineer requirements engineering system analysis architecture development systems integration validation technical planning risk management engineering systems engineering principle architecture design implementation integration test modeling simulation analysis decision risk analysis MATLAB Requirements Engineering Risk Opportunity Management Baseline Control Technical Planning Technical Effort Assessment Design Development Qualification Verification Validation Process Definition Tool Support Training System Integration Quality Assurance Specialty 
53,Petroleum Engineer,bachelor bachelors bachelor's master masters master's petroleum engineering technology civil mechanical chemical engineer applied,Design drilling equipment extracting oil gas onshore offshore reserves cost effort feasibility Devise plans methods drill fields recover oil gas Develop modify tools designs installed operated maintained geoscientists geologic formation oil gas reservoir Monitor drilling operations drilling techniques methods Analyzing interpreting monitoring geological formation extraction risks best methods extraction Using surveys testing analysis reservoirs profits low-cost drilling extraction Generating computer-simulated models drilling formation equipment ensuring designing tool equipment extraction managing machinery production costs efficient drill internal divisions free-flowing single well fracture shale beds free gas oil production operations efficient extraction drilling extraction transportation safety environmental regulations Maintaining on-site drilling pumping equipment Developing refining methods extracting petroleum existing wells production analysis forecasting onshore basins production commodity price timing reservoirs Python Numpy Pandas SQL Spotfire
