index,title,simpletags,deepertags
0,International Architecture Design Competition: Carbon Positive Affordable Housing,civil design engineer architect architecture designers designer interior engineering,Architecture civil design engineer architect architecture designers designer interior engineering
1,Virtual Home Annual International Architecture Competition,civil design engineer architect architecture designers designer interior engineering,Architecture civil design engineer architect architecture designers designer interior engineering
2,White House Competition,civil design engineer architect architecture designers designer interior engineering,Architecture civil design engineer architect architecture designers designer interior engineering
3,eVolo Skyscraper Competition,civil design engineer architect architecture designers designer interior engineering,Architecture civil design engineer architect architecture designers designer interior engineering
4,Museum Of Emotions Annual International Architecture Competition,civil design engineer architect architecture designers designer interior engineering,Architecture civil design engineer architect architecture designers designer interior engineering
5,Iceland Volcano Coffee Shop International Architecture Competition,civil design engineer architect architecture designers designer interior engineering,Architecture civil design engineer architect architecture designers designer interior engineering
6,Timber Pavilion Annual International Architecture Competition,civil design engineer architect architecture designers designer interior engineering,Architecture civil design engineer architect architecture designers designer interior engineering
7,Harvard GSD's Wheelwright Prize,civil design engineer architect architecture designers designer interior engineering,Architecture civil design engineer architect architecture designers designer interior engineering
8,Home Competition,civil design engineer architect architecture designers designer interior engineering,Architecture civil design engineer architect architecture designers designer interior engineering
9,NEWH Green Voice Design Competition,civil design engineer architect architecture designers designer interior engineering,Architecture civil design engineer architect architecture designers designer interior engineering
10,The BDA Prize,civil design engineer architect architecture designers designer interior engineering,Architecture civil design engineer architect architecture designers designer interior engineering
11,The Forge Prize,architect architects,Architecture architect architects
12,Bitgrit,artificial intelligence data science engineer computer science analyst machine learning engineering,Data Scientist artificial intelligence data science engineer computer science analyst machine learning engineering
13,Kaggle,artificial intelligence data science engineer computer science analyst machine learning engineering,Data Scientist artificial intelligence data science engineer computer science analyst machine learning engineering
14,International Data Analysis Olympiad (IDAO),artificial intelligence data science engineer computer science analyst machine learning engineering,Data Scientist artificial intelligence data science engineer computer science analyst machine learning engineering
15,DrivenData: Data Science Competitions for Social Good,artificial intelligence data science engineer computer science analyst machine learning engineering,Data Scientist artificial intelligence data science engineer computer science analyst machine learning engineering
16,Topcoder Challenges,artificial intelligence data science engineer computer science analyst machine learning engineering,Data Scientist artificial intelligence data science engineer computer science analyst machine learning engineering
17,Codalab,artificial intelligence data science engineer computer science analyst machine learning engineering,Data Scientist artificial intelligence data science engineer computer science analyst machine learning engineering
18,DataHack,artificial intelligence data science engineer computer science analyst machine learning engineering,Data Scientist artificial intelligence data science engineer computer science analyst machine learning engineering
19,Machine Hack,artificial intelligence data science engineer computer science analyst machine learning engineering,Data Scientist artificial intelligence data science engineer computer science analyst machine learning engineering
20,Iron Viz,data visualization analyst engineer engineering,Data Scientist data visualization analyst engineer engineering
21,Tianchi Big Data Competition,artificial intelligence data science engineer computer science analyst machine learning engineering,Data Scientist artificial intelligence data science engineer computer science analyst machine learning engineering
22,NASA Design Challenges,engineer engineering design aerospace electrical electronics,Aerospace Engineer electrical electronics engineer engineering design aerospace electrical electronics
23,RAeS International General Aviation Design Competition,engineer engineering design aerospace electrical electronics,Aerospace Engineer electrical electronics engineer engineering design aerospace electrical electronics
24,National Aerospace Conceptual Design Competition (NACDeC),engineer engineering design aerospace electrical electronics,Aerospace Engineer electrical electronics engineer engineering design aerospace electrical electronics
